,area,contours,radius,circle_dist,rect_dist,hull_radius,aspect_ratio,centroid_x,centroid_y,angle,weight_0_0,weight_0_1,weight_0_2,weight_0_3,weight_1_0,weight_1_1,weight_1_2,weight_1_3,weight_2_0,weight_2_1,weight_2_2,weight_2_3,weight_3_0,weight_3_1,weight_3_2,weight_3_3,num_holes,label
0,288.0,36,11.5358128663,0.665267662124,0.16443867995,12.6330421184,0.582608717846,14.1990740741,19.3159722222,62.1027259827,0.0,38.0,0.0,0.0,11.0,37.0,0.0,0.0,13.0,55.0,54.0,6.0,1.0,46.0,45.0,5.0,1,6
1,348.5,39,10.7099967335,0.700281749604,0.103448275862,13.7329477827,0.655172413793,15.2721186035,14.962219034,90.0,3.0,38.0,51.0,2.0,9.0,48.0,39.0,1.0,0.0,38.0,34.0,0.0,0.0,36.0,45.0,0.0,2,8
2,345.0,48,11.1867958687,0.594529208905,0.00579236421387,14.4449917224,1.6833333457,14.761352657,15.1884057971,-80.134185791,0.0,33.0,56.0,14.0,0.0,47.0,60.0,2.0,15.0,64.0,29.0,0.0,13.0,61.0,26.0,0.0,0,1
3,243.0,42,10.3764870715,0.67481695871,0.262068965517,12.9153619298,0.689655172414,18.5802469136,10.7873799726,90.0,0.0,37.0,64.0,30.0,0.0,26.0,49.0,18.0,0.0,1.0,39.0,0.0,0.0,20.0,20.0,0.0,0,9
4,213.0,48,9.84895348961,0.697098650743,0.0835611152136,13.6950019657,0.5648148258,16.989827856,15.6744913928,81.8698978424,7.0,47.0,28.0,0.0,3.0,8.0,46.0,0.0,0.0,10.0,36.0,13.0,0.0,37.0,50.0,6.0,0,3
5,290.5,51,10.4647764075,0.502456101331,0.221740677856,12.8799672008,1.82051282332,18.421686747,11.1153184165,-63.4349517822,0.0,20.0,45.0,36.0,1.0,49.0,43.0,24.0,0.0,12.0,34.0,2.0,0.0,9.0,25.0,0.0,1,9
6,274.0,44,9.85511585644,0.512978742197,0.225416068981,13.4103976385,1.50221236393,14.5736009732,18.3771289538,-62.3540229797,0.0,17.0,30.0,0.0,0.0,37.0,17.0,0.0,14.0,61.0,55.0,3.0,12.0,36.0,44.0,1.0,0,4
7,295.5,40,9.89914573875,1.27821313671,0.0526181903657,13.1231793163,0.518292728358,16.8917089679,14.8003384095,84.8055710793,0.0,54.0,40.0,0.0,0.0,40.0,60.0,4.0,0.0,4.0,57.0,8.0,0.0,42.0,47.0,0.0,0,9
8,266.5,50,9.32866401572,0.691863636912,0.246081504702,14.7964070069,0.758620689655,15.0475297061,11.6729205754,90.0,11.0,62.0,64.0,21.0,11.0,15.0,48.0,0.0,0.0,32.0,21.0,0.0,2.0,56.0,1.0,0.0,0,7
9,225.5,49,10.2683021048,0.615574490636,0.159186358005,14.5809254914,0.540669951541,14.2527716186,17.844789357,67.3801345825,11.0,55.0,9.0,0.0,5.0,27.0,12.0,0.0,0.0,41.0,1.0,0.0,2.0,49.0,64.0,15.0,0,2
